Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Food Pantry (Lifeway Baptist Church),https://www.auntbertha.com//lifeway-baptist-church--philadelphia-pa--food-pantry/6282969634045952?postal=19123,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",267-767-6791,http://www.lifewaybc.org/help/food-bank/,"9554 Bustleton Avenue, Philadelphia, PA 19115","https://www.google.com/maps/?q=9554+Bustleton+Avenue,+Philadelphia,+PA+19115/",['Anyone can access this program.'],available,The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,"['English', 'Russian']",Free,Yes,https://www.facebook.com/lifewayphila/,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0870202,-75.036153,19115,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,5,Food
Food Pantry (St. Mark's Evangelical Lutheran Church),https://www.auntbertha.com//st.-mark%2527s-evangelical-lutheran-church--philadelphia-pa--food-pantry/5130149218746368?postal=19123,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-224-1145,http://ww3.stmarksphila.org/?subid1=592539db-b3dc-11ef-a618-3e24fd789d0a,"6344 North Broad Street, Philadelphia, PA 19141","https://www.google.com/maps/?q=6344+North+Broad+Street,+Philadelphia,+PA+19141/",['Anyone can access this program.'],available,The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet nutritional needsPlease call the food pantry before visiting to verify hours of availability and any additional information.,['English'],Free,Yes,https://www.facebook.com/StMarksPhila/,,"This program covers residents of the following cities: Philadelphia, PA.",40.0502268,-75.142726,19141,No,Closed,10:00AM - 4:00PM,Closed,Closed,Closed,Closed,Closed,4.8,Food
Food Pantry (Salvation Army Philadelphia Roxborough Corps),https://www.auntbertha.com//salvation-army-philadelphia-roxborough-corps--philadelphia-pa--food-pantry/5804129660960768?postal=19123,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-483-4120,https://easternusa.salvationarmy.org/eastern-pennsylvania/roxborough/alleviate-hunger/,"6730 Ridge Avenue, Philadelphia, PA 19128","https://www.google.com/maps/?q=6730+Ridge+Avenue,+Philadelphia,+PA+19128/",['Anyone can access this program.'],available,The Salvation Army Philadelphia Roxborough Corps provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsPlease call to schedule an appointment for a food pick-up.,['English'],Free,Yes,https://www.facebook.com/TheSalvationArmyRoxboroughCitadelCorps,None,"This program covers residents of the following cities: Philadelphia, PA.",40.040964,-75.22539,19128,No,9:00AM - 2:00PM,9:00AM - 2:00PM,9:00AM - 2:00PM,9:00AM - 2:00PM,Closed,Closed,9:00AM - 12:30PM,4.9,Food
Food Pantry (Victory Outreach North Philly),https://www.auntbertha.com//victory-outreach-north-philly--philadelphia-pa--food-pantry/6251195793145856?postal=19123,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-600-6102,https://vophila.org/,"4500 Tyson Avenue, Philadelphia, PA 19135","https://www.google.com/maps/?q=4500+Tyson+Avenue,+Philadelphia,+PA+19135/",['Anyone can access this program.'],available,Victory Outreach operates a Food Pantry to help meet the nutritional needs of individuals and families in Philadelphia.This program provides:- Food to meet basic nutritional needsPlease call to verify hours before attending.,['English'],Free,Yes,https://www.facebook.com/vonorthphilly/,None,"This program covers residents of the following cities: Philadelphia, PA.",40.028763,-75.042998,19135,No,Closed,Closed,9:00AM - 12:00PM,Closed,Closed,Closed,Closed,4.6,Food
My SISTAS Resource Hub (Mady's Hands),https://www.auntbertha.com//mady%2527s-hands--philadelphia-pa--my-sistas-resource-hub/5957638318850048?postal=19103,"['food pantry', 'diapers & formula', 'personal care items', 'daily life skills', 'help find childcare', 'help find school']","['sexual and reproductive health', 'std/sti treatment & prevention']","['anyone in need', 'adults', 'young adults', 'teens', 'seniors', 'unemployed', 'individuals', 'families', 'with children', 'home renters']",610-579-1401,https://www.sistatalkphl.org,"1952 N 24th St, Philadelphia PA, 19121","https://www.google.com/maps/place/1952+N+24th+St,+Philadelphia,+PA+19121",['Anyone can access this program.'],available,"Mady's Hands provides a variety of services to assist individuals and families gain success and stability. This program offers support, direction, and success planning through free one-on one engagement.

Located at 1952 N 24th St, Philadelphia PA, 19121.

Our services will be available for walk-in only, no appointment needed.

 Monday: 1pm-5pm
Tuesday: 1pm-5pm
Wednesday: 1pm-5pm
Thursday: By Appt. Only

Our services include the following:

Food Pantry
Nursery Pantry including Diapers, clothing and other baby items.
HIV Testing Kits (Take Home)
Clothing Bank (availability varies-please call to see if we have your size, if not we have a referral for you)

See you soon!",['English'],Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9851246,-75.175872,19121,No,1:00PM - 5:00PM,1:00PM - 5:00PM,1:00PM - 5:00PM,Closed,Closed,Closed,Closed,0,Food
Food Pantry (The Common Place),https://www.auntbertha.com//the-common-place--philadelphia-pa--food-pantry/6175811663822848?postal=19103,['food pantry'],['food pantry'],"['anyone in need', 'all ages']",267-275-8238,https://www.thecommonplacephilly.org/,"5736 Chester Avenue, Philadelphia, PA 19143","https://www.google.com/maps/?q=5736+Chester+Avenue,+Philadelphia,+PA+19143/",['Anyone can access this program.'],available,The Common Place's food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/tcpphilly/,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9356486,-75.227944,19143,No,Closed,Closed,Closed,Closed,Closed,10:00AM - 1:00PM,Closed,4.6,Food
Zion Cares (Zion Baptist Church of Philadelphia),https://www.auntbertha.com//zion-baptist-church-of-philadelphia--philadelphia-pa--zion-cares/5031536188194816?postal=19119,"['food pantry', 'meals', 'clothing', 'medical care', 'spiritual support']","['food pantry', 'meals', 'clothing', 'medical care', 'spiritual support']","['anyone in need', 'all ages', 'individuals', 'families', 'low-income']",215-223-5460,https://www.zionbaptphilly.org/,"3600 North Broad Street, Philadelphia, PA 19140","https://www.google.com/maps/?q=3600+North+Broad+Street,+Philadelphia,+PA+19140/",['Anyone can access this program.'],available,"Zion Cares is a community care outreach that provides fresh vegetables, fresh fruit, non-perishables items and clothing to anyone need support on Sundays. In addition, a substantial meal, clothing and health care resources are offered.This program provides:- Food to meet basic nutritional needs- Meals- Clothing- Health care",['English'],Free,Yes,https://www.facebook.com/ZionBaptPhilly/,https://www.twitter.com/@ZionBaptPhilly,"This program covers residents of the following counties: Philadelphia County, PA.",40.0080438,-75.152076,19140,No,Closed,Closed,Closed,Closed,Closed,Closed,12:00PM - 2:00PM,4.7,Food
Food Distribution (Kitchen Of Love),https://www.auntbertha.com//kitchen-of-love--philadelphia-pa--food-distribution/5067420438626304?postal=19119,['food pantry'],['food pantry'],"['all ages', 'individuals', 'families', 'undocumented']",215-868-4092,https://kitchenofloveinpa.wixsite.com/kitchen-of-love/events,"8500 Pickering Avenue, Philadelphia, PA 19150","https://www.google.com/maps/?q=8500+Pickering+Avenue,+Philadelphia,+PA+19150/","['Must reside in Philadelphia, PA.']",waitlist,"Kitchen of Love provides Food Distribution to Philadelphia residents in need. Every Thursday canned foods and meat are distributed and every Friday fresh fruits and vegetables are distributed.This program provides:- Food pantryCurrently, they have a waiting list of more than 100 residents, but as they begin to expand, they will begin to pull more residents from the waiting list.",['English'],Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0813989,-75.174694,19150,No,Closed,Closed,9:00 - 11:00AM,9:00 - 11:00AM,9:00 - 11:00AM,Closed,Closed,1,Food
Food Pantries (Catholic Social Services - Philadelphia),https://www.auntbertha.com//catholic-social-services---philadelphia--philadelphia-pa--food-pantries/4567796139294720?postal=19119,['food pantry'],"['diapers & formula', 'parenting education']","['anyone in need', 'all ages', 'individuals', 'families', 'low-income']",267-331-2500,https://cssphiladelphia.org/family-service-centers/,"4400 North Reese Street, Philadelphia, PA 19140","https://www.google.com/maps/?q=4400+North+Reese+Street,+Philadelphia,+PA+19140/",['This program serves anyone in need.'],available,Catholic Social Services' Food Pantries provide quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/cssphiladelphia,https://www.twitter.com/@CSSPhiladelphia,"This program covers residents of the following cities: Philadelphia, PA.",40.0187686,-75.134872,19140,No,8:30AM - 4:30PM,8:30AM - 4:30PM,8:30AM - 4:30PM,8:30AM - 4:30PM,8:30AM - 4:30PM,Closed,Closed,4,Food
Mobile Food Pantry (Poor People's Economic Human Rights Campaign),https://www.auntbertha.com//poor-people%2527s-economic-human-rights-campaign--philadelphia-pa--mobile-food-pantry/6560445123788800?postal=19119,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'covid19', 'low-income']",215-869-4753,https://www.poorpeoplesarmy.org/about-1,"1505 W Allegheny Ave, Philadelphia, PA 19132",https://www.google.com/maps/place/Poor+People's+Economic+Human+Rights+Campaign,['Anyone can access this program.'],available,"Poor People's Economic Human Rights Campaign strives to alleviate hunger in food insecure communities by providing food assistance to individuals and families in need, This program provides:- Food to meet basic nutritional needs",['English'],Free,Yes,https://www.facebook.com/groups/1093846127618163/,https://www.twitter.com/@PPEHRCorg,"This program covers residents of the following cities: Philadelphia, PA.",40.0018587,-75.1574298,19132,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.1,Food
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),https://www.auntbertha.com//salvation-army-eastern-pennsylvania-%2526-delaware--philadelphia-pa--social-services-program/4620877509427200?postal=19128,"['food pantry', 'meals', 'clothing', 'toys & gifts', 'parenting education', 'counseling', 'financial education', 'navigating the system', 'support network', 'spiritual support', 'skills & training', 'interview training', 'resume development', 'help find work']","['food pantry', 'meals', 'clothing', 'toys & gifts', 'parenting education', 'counseling', 'financial education', 'navigating the system', 'support network', 'spiritual support', 'skills & training', 'interview training', 'resume development', 'help find work']","['all ages', 'individuals', 'families', 'homeless', 'near homeless', 'low-income']",215-482-4120,https://easternusa.salvationarmy.org/,"6730 Ridge Avenue, Philadelphia, PA 19128","https://www.google.com/maps/?q=6730+Ridge+Avenue,+Philadelphia,+PA+19128/",['This program serves residents of Pennsylvania.'],available,Salvation Army Eastern Pennsylvania & Delaware social workers provide social services to meet the needs of the community. This program provides:- Access to nutritious food- Counseling Services- Financial Education- Spiritual Support- Referrals- Help find work- Resume Building- Interview skills- Job placement- Toys & Gifts (Holiday season)- Clothing (all ages)- Men's and women's support groupsServices offered may change depending on location. Please contact the nearest office for more information.,['English'],Free,Yes,https://www.facebook.com/SalvationArmyPhiladelphia,https://www.twitter.com/@SalArmyPhilly,"This program covers residents of the following cities: Dover, DE, Seaford, DE, Wilmington, DE, Allentown, PA, Berwick, PA, Bethlehem, PA, Boyertown, PA, Carlisle, PA, Chambersburg, PA, Chester, PA, Coal Township, PA, Coatesville, PA, Darby, PA, East Stroudsburg, PA, Easton, PA, Harrisburg, PA, Hazleton, PA, Lancaster, PA, Lebanon, PA, Levittown, PA, Lewistown, PA, Lock Haven, PA, Milton, PA, Norristown, PA, Pen Argyl, PA, Philadelphia, PA, Pottstown, PA, Pottsville, PA, Reading, PA, Scranton, PA, State College, PA, Sunbury, PA, Tamaqua, PA, West Chester, PA, Wilkes Barre, PA, Williamsport, PA and York, PA.",40.040964,-75.22539,19128,No,8:00AM - 3:30PM,8:00AM - 3:30PM,8:00AM - 3:30PM,8:00AM - 3:30PM,8:00AM - 1:30PM,Closed,Closed,4.7,Food
